,Current Place,,,Place of interest,,,Food you like most,Leisure time activity,Future plan,Typically your days are started at:,Academic Result,Co-curricular Activities,Skill,Number of Achievement,Physical Exercise,Higher Study
,Name,Latitude,Longitude,Name,Latitude,Longitude,,,,,,,,,,
151341031,Ajimpur,23.720856,90.384846,Tallinn,59.436962,24.753574,Nothing specific,Nothing specific,Any job,ER,2.89,None,Android,1,Yes,No
141440980,Mirpur,33.147984,73.75367,Canada,56.13036,-106.34577,Biriyani,Online Games,Higher Study,LR,2.87,Club committee,Java,2,No,Yes
151341008,Katasur,40.28236,-79.69305,Bandarban,-7.73352,112.95887,Biriyani,Sleeping,Any job,ER,2.78,Club committee,Networking,3,No,Yes
151341004,Lalmatia,23.7571291,90.3685188,Switzerland,46.547513,7.985291,Fast Food,Newspaper,Higher Study,LR,3.11,None,Android,1,No,Yes
151341006,Mirpur Dohs,23.70731,90.41548,Bandarban,21.8311,92.368632,Fast Food,Sleeping,Higher Study,LR,3.45,None,Java,2,No,Yes
151341016,Banasree,22.513531,88.301537,Turkey,38.963745,35.24332,Chinese food,Gaming,Game Developer,ER,3.08,None,Java,3,Yes,Yes
151341013,Jigatola,23.738078,90.372485,Srimangal,24.310454,91.725342,Regular Food,Sports,Software Developer,LR,3.33,Club committee,Web Development,2,Yes,Yes
151341026,Chand Housing,23.758861,90.35858,Bandarban,21.8311,92.368632,Regular Food,Sports ,Game Development,LR,3.16,None,None,3,Yes,No
151341023,Shekhertek,23.838511,90.224784,Cox's Bazar,21.43392,91.98703,Cold Beverage,Reading Books,Higher Study,ER,2.97,None,Android,2,Yes,No
151341027,Modhubag,23.760223,90.411561,Bandarban,21.8311,92.368632,Regular Food,Sleeping,Web Developer,LR,2.8,None,None,1,Yes,No
151341015,Kafrul,23.70731,90.415482,Sunamganj,25.04561,91.387138,Regular Food,Sports,Higher Study,LR,3.36,Club committee,None,3,Yes,Yes
151341028,Mirpur,23.814654,90.362371,Bandarban,22.19534,92.21946,Regular Food,Sports,Software Developer,LR,3.65,None,Java,5,No,No
151341017,Tajgaon,23.7598,90.3913,Darjeeling,27.036,88.2627,Fast Food,Reading Books,Software Developer,LR,3.08,None,Android,1,Yes,No
151341011,Mugda,23.729556,90.429214,Cox's Bazar,21.439138,91.967015,Regular Food,Watching movie,Software Developer,LR,3.33,None,Java,1,No,Yes
151341014,Bijoy Sarani,23.761888,90.390841,Canada,43.70011,-79.4163,Fast Food,TV Series,Data Scientist,LR,3.16,Club committee,Networking,1,No,Yes
151341005,Bashabo,23.70731,90.415482,Switzerland,46.547513,7.985291,Chinese,Playing Violine,Software Developer,ER,2.97,None,Android,3,Yes,Yes
151341009,East Rampura,23.708022,90.417885,Mount Everest,27.988121,86.924973,Chinese food,Reading Books,Higher Study,LR,3.18,None,Java,2,No,Yes
151341022,Mohanogor Project ,23.7676,90.4147,Sajek,23.382,92.2938,Fast Food,Watching movie,Don't have,LR,2.8,None,Java,1,No,Yes
151341029,Segunbagicha,23.7325976,90.4025838,Spain,40.463669,-3.74922,Mix Food,TV Series,Software Developer,LR,3.36,None,Android,3,Yes,Yes
151341010,Farmgate,23.7561067,90.3871961,Sunamganj,25.04561,91.387138,Regular Food,Watching movie,Web Developer,LR,3.65,Club committee,Java,5,Yes,No
151341020,Mirpur 60 Feet,23.790579,90.365308,Meghalaya,25.572491,91.31076,Biriyani,Playing games and watching Movies,Higher Study,LR,3.18,None,Networking,1,No,No
151341012,Zigatola,23.738078,90.372485,Cox's Bazar,21.43392,91.98703,Regular Food,Sports,Don't have,LR,3.07,None,Android,1,No,No
151341021,Rayerbag,23.693846,90.455336,China,34.626036,103.649834,Regular Food,"TV Series, Documentaries",Higher Study,LR,3.33,Club committee,Java,1,No,Yes
151341019,Shyamoli,23.7718,90.3631,Sylhet,24.8949,91.8687,Regular Food,Sports,Don't have,LR,3.16,None,Java,1,No,Yes
151340921,Tejgaon,23.70731,90.41548,saint martin,49.435532,-2.56735,Alu Vorta,playing game,Higher Studies,LR,2.97,None,Android,2,Yes,Yes
151340923,Siddheshwari,23.744602,90.411456,Cox's Bazar,21.426979,91.971179,Pasta,Movies,Higher Studies,LR,3.18,None,Java,3,Yes,No
151340925,Maniknagar,23.7213894,90.4299279,My Room,23.7213894,90.4299279,Cashew nut,Movies,Higher Studies,ER,2.8,None,Networking,1,Yes,Yes
151340926,Maniknagar,23.722595,90.429585,Sylhet,24.8949,91.8687,Cashew nut,Photography,Software Developer,ER,3.36,Club committee,Android,2,Yes,Yes
151340927,Mirpur,23.70731,90.41548,Khulna,22.84193,89.55806,Spicy food,Movies,Teacher,ER,3.65,None,Java,3,Yes,No
151340928,Mirpur,23.80708505,90.36861281,Shylet,24.82583106,91.71749383,Biriyani,Gaming,Software Developer,ER,3.18,Club committee,Java,2,No,No
151340930,Motijheel,23.70731,90.415482,Sajek Valley,22.343038,91.84274,Porota Dalbhaji,Movies,Software Developer,ER,3.07,None,Web Development,3,No,No
151340931,Hazaribagh,23.727835,90.374046,Sylhet,24.894802,91.869034,Biriyani,Watching youtube,Software Developer,LR,2.97,None,None,2,No,Yes
151340932,Tejgaon,23.7636971,90.3706906,Gopalganj,23.0894363,89.6212662,Grill & Nun,Movies,Full Stack Developer,LR,3.18,Club committee,Android,2,No,No
151340933,Rampura,23.70731,90.41548,Sajek Valley,22.33037,91.83263,Beef,Movies,Database Analyst,LR,2.8,None,None,1,Yes,No
151340934,Rampura,23.70731,90.41548,Bandarban,21.8311,92.368629,Biriyani,Playing online game,Network Specialist,LR,3.36,None,Networking,3,Yes,No
151340935,Gulshan,23.7786,90.4156,Khulna,22.8092,89.5697,Any well cooked food,Nothing fixed,Software Developer,LR,3.65,Club committee,Android,5,Yes,No
151340936,Mohanagar,23.76451,90.413132,Malaysia,4.210484,101.975769,Lasi,Exploring digital library & surfing internet,Entrepreneur,LR,3.18,None,Java,1,Yes,Yes
151340937,Mirpur,23.7956,90.3537,Sajek Valley,23.4056,92.2793,Spicy Food,Movies,Software Developer,LR,3.07,None,Java,1,Yes,Yes
151340938,Malibagh,23.748975,90.410712,Paris,48.8566,2.3522,Pasta,Movies,Higher Studies,LR,3.33,None,Web Development,1,Yes,Yes
151340939,Malibagh,23.758353,90.416229,Sylhet,24.89493,91.868706,Burger,Facebooking,Web Developer,LR,3.16,Club committee,None,1,No,No
151340940,Khilgaon,23.7558145,90.4233269,My Rooftop,23.7558145,90.4233269,Biriyani,"Writing novellas, reading books, analyzing business models and browsing artworks","Author, Entrepreneur, Journalist",ER,2.97,None,Android,2,No,Yes
151340941,Niketon,23.797911,90.414391,Gazipur,24.0958,90.4125,Spicy food,Cooking,Data Scientist,LR,3.18,Club committee,Java,3,Yes,Yes
151340942,Shantinagar,23.7382,90.4143,Sylhet,24.8949,91.8687,Italian,Movies,Data Scientist,ER,2.8,None,Networking,1,No,No
151340943,Mohakhali,23.780232,90.401148,Saint Martins,20.631618,92.320892,Fast food,Movies,Database Analyst,LR,3.36,Club committee,Android,2,No,No
151340944,Kathalbagan,23.746188,90.38987,Saint Martins,20.631618,92.320892,Beef Curry with Curds,"Gaming, watching football, cricket matches",Full Stack Developer,LR,3.65,None,Java,1,Yes,No
151340945,Panthapath,23.751791,90.385936,Saint Martins,20.631618,92.320892,Biriyani," Cricket, Movies",Software Developer,LR,3.18,None,Java,2,No,Yes
151340946,Mirpur,23.80708505,90.36861281,Cox's Bazar,39.059479,-80.873016,Luchi Dalvaji,Spending time with family members,Software Developer,ER,3.07,Club committee,Web Development,3,No,No
151340947,Dhaka Cantonment,26.78293,82.1501,Cox's Bazar,39.059479,-80.873016,Chicken ,Movies,Software Developer,LR,3.36,None,None,1,Yes,No
